,title,price,commit,shop_name,href,brand,RAM,SSD,GPU,CPU,screen
0,联想笔记本电脑小新Air15 英特尔酷睿i5 15.6英寸全面屏办公轻薄本 (11代i5 16G 512G 高色域 数字小键盘 ),4799.00,10万+,联想京东自营旗舰店,https://item.jd.com/100021802484.html,联想（Lenovo）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i5-1155G7,15.6英寸
1,"京品电脑
惠普(HP)战66四代 锐龙版 14英寸轻薄笔记本电脑(Zen3架构 6核 R5-5600U 16G 512G 400尼特高色域 一年上门)",4999.00,20万+,惠普京东自营官方旗舰店,https://item.jd.com/100018079978.html,惠普（HP）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,R5-5600U,14英寸
2,"京品电脑
联想ThinkBook 14p AMD锐龙标压 14英寸高性能轻薄笔记本电脑 R7-5800H 16G 512G 16:10 2.2K 高色域 Win11",4999.00,5万+,ThinkPad京东自营旗舰店,https://item.jd.com/100027378160.html,ThinkPad,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,R7-5800H,14英寸
3,联想笔记本电脑小新Air14 英特尔酷睿i5 14英寸全面屏办公轻薄本(11代i5-1155G7 16G 512G 高色域)银,4699.00,10万+,联想京东自营旗舰店,https://item.jd.com/100011483893.html,联想（Lenovo）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i5-1155G7,14英寸
4,联想笔记本电脑小新Air14Plus酷睿版 英特尔酷睿i5 14英寸全面屏办公轻薄本(11代i5 16G 512G 2.2K护眼屏)银,4799.00,10万+,联想京东自营旗舰店,https://item.jd.com/100030585500.html,联想（Lenovo）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i5-1155G7,14英寸
5,联想笔记本电脑小新Pro16锐龙版 16英寸高性能游戏轻薄本(8核R7-5800H 16G 512G RTX3050独显 2.5K高刷屏 ),6799.00,20万+,联想京东自营旗舰店,https://item.jd.com/100021771660.html,联想（Lenovo）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：RTX 3050,R7-5800H,16英寸
6,联想笔记本电脑 威6 超轻薄本 14英寸全面屏设计师办公学生游戏本 新11代酷睿i3-1115G4 8G内存 512G固态 IPS防眩光屏丨标配 DC调光 WiFi6 背光键盘 太空银,3999.00,5000+,联想电脑办公京东自营旗舰店,https://ccc-x.jd.com/dsp/nc?ext=aHR0cDovL2l0ZW0uamQuY29tLzUxNTU5MTMyMjIxLmh0bWw&log=4oBeJFpkHhdY3yBzfqxSGhGV6xSqXHwh-y2ObK9xQYNLMGyKBh6IWoS1mql52LjcFlhFz4VRNw_AK6__l7V1h4pg4ZB6jzw3K6dZcKk57cgrBWQG326yY5A17VFAmFL2yMR4St01TO0metPKACCeDPob1NiwiqVZpqF9uppxY6FnOwl4uJT2iiXLTypK_6ial780XaSwEPhUqNKe4XPmkrjAsKzrU3JdDx2vvOqmhfW12DVpdI1kJpGtNB4ldE6oq1eAC_YSuQlmGmE8CTB8DYtqDgl-C6zZ_nrmXLenMvHeSbtbR1hyAOVL_r_8EH0nISeiEHrkMvA7FnOXgeqbg9cmwokQJH0oqX3Ejiv-Pe7N9THeY5enfp5bNtcmIe_qMfZdqElsh5pwDo7OsNH6TiIwkYljsf3XVnYVgqAlLUOn-Y0n64DLLrww3Spl7fYRX5akGu0VXJWVnAQ-2KbxwQ-AP-7PwIJwS_8XnSi87CgsVvqvzQPfe2H597OW3qOS_J4laeNynJCdNmQ_00mnqqtDU0zu8YHCIeadX3TCyXj0i589vPs8PlcLAUSXuRuN2RwJc3k3USvhYMYLYzf5tTPeilQT3lm3KPvRgpRTvaYs2wZScCUnvHfgut9cRsHjlHooi2H9-4ObGi8gvPzAjzyjHlH5IlrjyGwPDAcgVc_gfq2bJgDChIzzyplmc5FKVXYBfNaBAcA5jb-vZYJsYx05l1m6gNMQzJNZ8ntsoFvjOXnvDCuA-myjz7YCNk-G8FCpdJ9LP8Gd39Tu05BMlLMpukCfoktoDctHtecVxUdk1dm-_b_yFIWHmlm6V_MsZwT2KXS5lOszpWr8gFyOGuQJpGSclYxIwdNzLIzRJWcze8Q-RIZtBkBGMkSuawEEsIdZ9heJg2tn1gUGzqC6clXRCIzwDfB9q4-QulyGklc-tttupaUvJtmz-ejjfAPrQFUTc4p10td40YeRNtqiIdmJpkC0ICaOBhhW-v4NuMM38q1W08ORRhy6OxnR6AoNY9GKXmw0ufkTZRGgkSgoS4sa1h6Umt1mSEJfTQ9jmUhfGaS_v5IIR8W3rCm5HZFf5kwSPCQOsaQXCxWKR5E51OTy4ZXIbZE5uG4pam8A03HlmLCQj00tdbRGS5zn88k56l_rmS-PbL5fPOCI2zD0QkHqG2c_pVoLK8_ww2fcM3M&v=404,联想（Lenovo）,内存容量：8GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i3-1115G4,14英寸
7,联想笔记本电脑小新Air14Plus锐龙版 14英寸全面屏办公轻薄本(6核R5-5600U 16G 512G 2.2K护眼屏)深空灰,4799.00,20万+,联想京东自营旗舰店,https://item.jd.com/100026957536.html,联想（Lenovo）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,R5-5600U,14英寸
8,"京品电脑
戴尔DELL成就3400 14英寸轻薄性能商务全面屏笔记本电脑(11代i5-1135G7 16G 512G)一年上门+7x24远程服务",4499.00,10万+,戴尔京东自营官方旗舰店,https://item.jd.com/100016777690.html,戴尔（DELL）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,i5-1135G7,14英寸
9,联想笔记本电脑小新Air15锐龙版 15.6英寸全面屏办公轻薄本(8核R7-5700U 16G 512G 高色域 数字小键盘)深空灰,5099.00,20万+,联想京东自营旗舰店,https://item.jd.com/100019867006.html,联想（Lenovo）,内存容量：16GB,固态硬盘（SSD）：512GB,显卡型号：集成显卡,R7-5700U,15.6英寸
